tick: 1.0,             Human number: 100,             Zombie number: 5
tick: 2.0,             Human number: 100,             Zombie number: 5
tick: 3.0,             Human number: 100,             Zombie number: 5
tick: 4.0,             Human number: 99,             Zombie number: 6
tick: 5.0,             Human number: 99,             Zombie number: 6
tick: 6.0,             Human number: 99,             Zombie number: 6
tick: 7.0,             Human number: 99,             Zombie number: 6
tick: 8.0,             Human number: 99,             Zombie number: 6
tick: 9.0,             Human number: 99,             Zombie number: 6
tick: 10.0,             Human number: 99,             Zombie number: 6
tick: 11.0,             Human number: 99,             Zombie number: 6
tick: 12.0,             Human number: 99,             Zombie number: 6
tick: 13.0,             Human number: 99,             Zombie number: 6
tick: 14.0,             Human number: 99,             Zombie number: 6
tick: 15.0,             Human number: 99,             Zombie number: 6
tick: 16.0,             Human number: 99,             Zombie number: 6
tick: 17.0,             Human number: 98,             Zombie number: 7
tick: 18.0,             Human number: 98,             Zombie number: 7
tick: 19.0,             Human number: 98,             Zombie number: 7
tick: 20.0,             Human number: 98,             Zombie number: 7
tick: 21.0,             Human number: 98,             Zombie number: 7
tick: 22.0,             Human number: 98,             Zombie number: 7
tick: 23.0,             Human number: 97,             Zombie number: 8
tick: 24.0,             Human number: 96,             Zombie number: 9
tick: 25.0,             Human number: 96,             Zombie number: 9
tick: 26.0,             Human number: 96,             Zombie number: 9
tick: 27.0,             Human number: 96,             Zombie number: 9
tick: 28.0,             Human number: 96,             Zombie number: 9
tick: 29.0,             Human number: 96,             Zombie number: 9
tick: 30.0,             Human number: 96,             Zombie number: 9
tick: 31.0,             Human number: 95,             Zombie number: 10
tick: 32.0,             Human number: 95,             Zombie number: 10
tick: 33.0,             Human number: 95,             Zombie number: 10
tick: 34.0,             Human number: 95,             Zombie number: 10
tick: 35.0,             Human number: 95,             Zombie number: 10
tick: 36.0,             Human number: 95,             Zombie number: 10
tick: 37.0,             Human number: 94,             Zombie number: 11
tick: 38.0,             Human number: 94,             Zombie number: 11
tick: 39.0,             Human number: 93,             Zombie number: 12
tick: 40.0,             Human number: 93,             Zombie number: 12
tick: 41.0,             Human number: 92,             Zombie number: 13
tick: 42.0,             Human number: 92,             Zombie number: 13
tick: 43.0,             Human number: 91,             Zombie number: 14
tick: 44.0,             Human number: 91,             Zombie number: 14
tick: 45.0,             Human number: 91,             Zombie number: 14
tick: 46.0,             Human number: 91,             Zombie number: 14
tick: 47.0,             Human number: 91,             Zombie number: 14
tick: 48.0,             Human number: 91,             Zombie number: 14
tick: 49.0,             Human number: 90,             Zombie number: 15
tick: 50.0,             Human number: 90,             Zombie number: 15
tick: 51.0,             Human number: 90,             Zombie number: 15
tick: 52.0,             Human number: 90,             Zombie number: 15
tick: 53.0,             Human number: 90,             Zombie number: 15
tick: 54.0,             Human number: 90,             Zombie number: 15
tick: 55.0,             Human number: 90,             Zombie number: 15
tick: 56.0,             Human number: 89,             Zombie number: 16
tick: 57.0,             Human number: 88,             Zombie number: 17
tick: 58.0,             Human number: 87,             Zombie number: 18
tick: 59.0,             Human number: 87,             Zombie number: 18
tick: 60.0,             Human number: 87,             Zombie number: 18
tick: 61.0,             Human number: 87,             Zombie number: 18
tick: 62.0,             Human number: 87,             Zombie number: 18
tick: 63.0,             Human number: 87,             Zombie number: 18
tick: 64.0,             Human number: 87,             Zombie number: 18
tick: 65.0,             Human number: 86,             Zombie number: 19
tick: 66.0,             Human number: 85,             Zombie number: 20
tick: 67.0,             Human number: 84,             Zombie number: 21
tick: 68.0,             Human number: 84,             Zombie number: 21
tick: 69.0,             Human number: 84,             Zombie number: 21
tick: 70.0,             Human number: 84,             Zombie number: 21
tick: 71.0,             Human number: 84,             Zombie number: 21
tick: 72.0,             Human number: 84,             Zombie number: 21
tick: 73.0,             Human number: 84,             Zombie number: 21
tick: 74.0,             Human number: 84,             Zombie number: 21
tick: 75.0,             Human number: 84,             Zombie number: 21
tick: 76.0,             Human number: 84,             Zombie number: 21
tick: 77.0,             Human number: 84,             Zombie number: 21
tick: 78.0,             Human number: 84,             Zombie number: 21
tick: 79.0,             Human number: 83,             Zombie number: 22
tick: 80.0,             Human number: 83,             Zombie number: 22
